category_name,topic_name,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Quantitative Aptitude,Profit & Loss,"A shopkeeper sells an article for Rs. 600 and gains 20%. Find the cost price.",Rs. 480,Rs. 500,Rs. 520,Rs. 550,B,"SP = CP × (100 + Profit%)/100, so 600 = CP × 120/100, therefore CP = 600 × 100/120 = Rs. 500",Easy
Quantitative Aptitude,Profit & Loss,"If cost price is Rs. 800 and selling price is Rs. 920, what is the profit percentage?",12%,15%,18%,20%,B,"Profit = 920 - 800 = 120, Profit% = (120/800) × 100 = 15%",Easy
Quantitative Aptitude,Profit & Loss,"A trader marks his goods 40% above cost price and gives 25% discount. Find his profit or loss percentage.",5% profit,10% profit,5% loss,15% profit,A,"Let CP = 100, MP = 140, SP = 140 × 75/100 = 105, Profit = 5, Profit% = 5%",Medium
Quantitative Aptitude,Time & Work,"A can complete a work in 12 days and B can complete it in 18 days. Working together, in how many days can they complete the work?",7.2 days,8 days,6.5 days,9 days,A,"A's rate = 1/12, B's rate = 1/18, Combined rate = 1/12 + 1/18 = 5/36, Time = 36/5 = 7.2 days",Medium
Quantitative Aptitude,Time & Work,"If 15 men can complete a work in 20 days, how many men are required to complete the same work in 12 days?",18,20,25,30,C,"Work = 15 × 20 = 300 man-days, For 12 days: Men required = 300/12 = 25",Easy
Quantitative Aptitude,Time Speed & Distance,"A train travels 240 km in 4 hours. What is its speed?",50 km/h,60 km/h,70 km/h,80 km/h,B,"Speed = Distance/Time = 240/4 = 60 km/h",Easy
Quantitative Aptitude,Time Speed & Distance,"Two trains of lengths 100m and 150m are running at speeds of 40 km/h and 50 km/h respectively in opposite directions. In how much time will they cross each other?",10 seconds,12 seconds,15 seconds,8 seconds,A,"Relative speed = 40 + 50 = 90 km/h = 25 m/s, Total distance = 100 + 150 = 250m, Time = 250/25 = 10 seconds",Medium
Quantitative Aptitude,Percentage,"What is 15% of 240?",36,42,48,54,A,"15% of 240 = (15/100) × 240 = 36",Easy
Quantitative Aptitude,Percentage,"If 40% of a number is 80, what is 25% of the same number?",40,45,50,55,C,"Let number be x, 40% of x = 80, so x = 200, 25% of 200 = 50",Easy
Quantitative Aptitude,Simple & Compound Interest,"Find simple interest on Rs. 2000 at 5% per annum for 3 years.",Rs. 250,Rs. 300,Rs. 350,Rs. 400,B,"SI = (P × R × T)/100 = (2000 × 5 × 3)/100 = Rs. 300",Easy
Quantitative Aptitude,Simple & Compound Interest,"Find compound interest on Rs. 1000 at 10% per annum for 2 years.",Rs. 200,Rs. 210,Rs. 220,Rs. 250,B,"CI = P[(1 + R/100)^n - 1] = 1000[(1.1)^2 - 1] = 1000[1.21 - 1] = Rs. 210",Medium
Quantitative Aptitude,Ratio & Proportion,"The ratio of two numbers is 3:4. If their sum is 84, find the larger number.",36,42,48,54,C,"Let numbers be 3x and 4x, 3x + 4x = 84, 7x = 84, x = 12, Larger number = 4x = 48",Easy
Quantitative Aptitude,Average,"The average of 5 numbers is 20. If one number is excluded, the average becomes 18. What is the excluded number?",25,28,30,32,B,"Sum of 5 numbers = 20 × 5 = 100, Sum of 4 numbers = 18 × 4 = 72, Excluded number = 100 - 72 = 28",Medium
Quantitative Aptitude,Number System,"What is the sum of first 10 natural numbers?",45,50,55,60,C,"Sum = n(n+1)/2 = 10 × 11/2 = 55",Easy
Quantitative Aptitude,Geometry,"Find the area of a rectangle with length 15 cm and breadth 8 cm.",120 cm²,115 cm²,125 cm²,130 cm²,A,"Area = length × breadth = 15 × 8 = 120 cm²",Easy
Logical Reasoning,Blood Relations,"A is B's brother. C is A's father. D is C's mother. What is D to B?",Mother,Grandmother,Aunt,Sister,B,"D is C's mother, C is A's father, A is B's brother, so D is B's grandmother",Medium
Logical Reasoning,Blood Relations,"Pointing to a man, a woman said 'His mother is the only daughter of my mother'. How is the woman related to the man?",Sister,Mother,Aunt,Daughter,B,"Only daughter of woman's mother = woman herself, So the man's mother is the woman, making her his mother",Hard
Logical Reasoning,Direction Sense,"A person walks 10m north, then 20m east, then 10m south. How far is he from the starting point?",10m,15m,20m,25m,C,"Final position: 20m east of starting point, Distance = 20m",Easy
Logical Reasoning,Coding-Decoding,"If BOOK is coded as CPPL, how is WORD coded?",XPSE,YQSF,XPSF,YOSE,A,"Each letter is shifted by +1, W→X, O→P, R→S, D→E, so WORD = XPSE",Medium
Logical Reasoning,Series Completion,"Find the next number in series: 2, 6, 12, 20, 30, ?",42,40,38,44,A,"Differences: 4, 6, 8, 10, next difference is 12, so 30 + 12 = 42",Medium
Logical Reasoning,Analogies,"Book : Author :: Painting : ?",Artist,Canvas,Museum,Color,A,"As book is created by author, painting is created by artist",Easy
Logical Reasoning,Syllogism,"All cats are animals. Some animals are wild. Which conclusion follows? I) Some cats are wild II) All animals are cats",Only I,Only II,Both I and II,Neither I nor II,D,"From given statements, we cannot conclude that some cats are wild or all animals are cats",Hard
Logical Reasoning,Puzzles,"Five friends A, B, C, D, E are sitting in a row. A is to the right of B, C is to the left of D, E is between A and C. Who is in the middle?",A,B,C,E,D,"Arrangement: B-A-E-C-D, so E is in the middle",Medium
Logical Reasoning,Calendars,"If 1st January 2020 is Wednesday, what day is 1st March 2020?",Friday,Saturday,Sunday,Monday,C,"January has 31 days, February has 29 days (2020 is leap year), Total days = 31 + 29 = 60, 60 ÷ 7 = 8 remainder 4, Wednesday + 4 = Sunday",Hard
Logical Reasoning,Clocks,"At what time between 3 and 4 o'clock will the hands of a clock be together?",3:16:22,3:15:27,3:16:36,3:15:45,C,"Hands meet at (11h/12) minutes past h, For h=3: (11×3/12) = 16.36 minutes = 16 min 36 sec",Hard
Verbal Ability,Reading Comprehension,"Read the passage: 'Education is the backbone of society.' What does this statement imply?",Education is expensive,Education supports society,Education is difficult,Education is optional,B,"Backbone supports the body, similarly education supports society",Easy
Verbal Ability,Vocabulary,"Choose the word closest in meaning to 'Abundant':",Scarce,Plenty,Rare,Limited,B,"Abundant means existing in large quantities, which is closest to plenty",Easy
Verbal Ability,Grammar,"Choose the correct sentence:",He don't like apples,He doesn't likes apples,He doesn't like apples,He not like apples,C,"Correct form uses 'doesn't' with base form of verb 'like'",Easy
Verbal Ability,Sentence Correction,"Find the error: 'Each of the students have submitted their assignments.'",Each,students,have,assignments,C,"'Each' is singular, so verb should be 'has' not 'have'",Medium
Verbal Ability,Synonyms & Antonyms,"Synonym of 'Enhance':",Reduce,Improve,Maintain,Destroy,B,"Enhance means to increase or improve, so improve is the synonym",Easy
Verbal Ability,Idioms & Phrases,"'To break the ice' means:",To be very cold,To start a conversation,To create problems,To be angry,B,"This idiom means to initiate conversation or make people feel comfortable",Medium
Data Interpretation,Tables,"From the table showing sales data, if Product A sold 150 units in Jan and 200 units in Feb, what's the percentage increase?",25%,33.33%,40%,50%,B,"Increase = 200-150 = 50, Percentage = (50/150) × 100 = 33.33%",Easy
Data Interpretation,Bar Charts,"A bar chart shows rainfall: Jan-20mm, Feb-30mm, Mar-25mm. What's the average rainfall?",22mm,25mm,27mm,30mm,B,"Average = (20+30+25)/3 = 75/3 = 25mm",Easy
General Awareness,Current Affairs,"Who is the current President of India (as of 2024)?",Draupadi Murmu,Ram Nath Kovind,A.P.J. Abdul Kalam,Pranab Mukherjee,A,"Draupadi Murmu is the current President of India",Easy
General Awareness,Geography,"Which is the longest river in India?",Yamuna,Brahmaputra,Ganga,Godavari,C,"River Ganga is the longest river in India",Easy
General Awareness,Science,"What is the chemical symbol for Gold?",Go,Gd,Au,Ag,C,"Gold's chemical symbol is Au (from Latin Aurum)",Easy
Computer Aptitude,Basic Concepts,"What does CPU stand for?",Central Processing Unit,Computer Personal Unit,Central Personal Unit,Computer Processing Unit,A,"CPU stands for Central Processing Unit",Easy
Computer Aptitude,MS Office,"Which shortcut key is used to copy text in MS Word?",Ctrl+C,Ctrl+V,Ctrl+X,Ctrl+Z,A,"Ctrl+C is the shortcut for copy operation",Easy
Computer Aptitude,Internet,"What does WWW stand for?",World Wide Web,World Web Wide,Wide World Web,Web World Wide,A,"WWW stands for World Wide Web",Easy
Quantitative Aptitude,Mixtures & Allegations,"Two varieties of wheat at Rs. 20/kg and Rs. 30/kg are mixed in ratio 3:2. Find the price per kg of mixture.",Rs. 24,Rs. 25,Rs. 26,Rs. 28,A,"Price = (3×20 + 2×30)/(3+2) = (60+60)/5 = Rs. 24/kg",Medium
Quantitative Aptitude,Mixtures & Allegations,"In what ratio should tea costing Rs. 60/kg be mixed with tea costing Rs. 65/kg so that the mixture costs Rs. 62/kg?",3:2,2:3,1:1,4:1,A,"Using alligation rule: (65-62):(62-60) = 3:2",Hard
Quantitative Aptitude,Profit & Loss,"A man buys 12 pens for Rs. 10 and sells 10 pens for Rs. 12. Find his gain percent.",40%,44%,45%,50%,B,"CP of 1 pen = 10/12, SP of 1 pen = 12/10 = 1.2, Gain% = ((1.2-10/12)/(10/12)) × 100 = 44%",Hard
Quantitative Aptitude,Time & Work,"A pipe can fill a tank in 6 hours and another pipe can empty it in 8 hours. If both pipes are opened together how long will it take to fill the tank?",12 hours,18 hours,24 hours,36 hours,C,"Fill rate = 1/6 - 1/8 = 1/24 per hour, Time = 24 hours",Medium
Quantitative Aptitude,Time Speed & Distance,"A man rows downstream 32 km in 4 hours and upstream 14 km in 7 hours. Find his speed in still water.",4 km/h,5 km/h,6 km/h,7 km/h,B,"Downstream speed = 8 km/h, Upstream speed = 2 km/h, Speed in still water = (8+2)/2 = 5 km/h",Hard
Quantitative Aptitude,Percentage,"In an election A gets 60% votes and wins by 1200 votes. Find total votes polled.",4000,5000,6000,8000,C,"Let total votes = x, A gets 60%x, B gets 40%x, 60%x - 40%x = 1200, 20%x = 1200, x = 6000",Medium
Quantitative Aptitude,Simple & Compound Interest,"At what rate of simple interest will Rs. 3000 amount to Rs. 3600 in 4 years?",4%,5%,6%,8%,B,"SI = 3600-3000 = 600, Rate = (SI×100)/(P×T) = (600×100)/(3000×4) = 5%",Medium
Quantitative Aptitude,Ratio & Proportion,"If A:B = 2:3 and B:C = 4:5 find A:B:C.",6:8:10,8:12:15,6:9:12,4:6:8,B,"A:B = 2:3, B:C = 4:5, A:B:C = (2×4):(3×4):(3×5) = 8:12:15",Medium
Quantitative Aptitude,Average,"Average age of 10 students is 15 years. If teacher's age is included average becomes 16 years. Find teacher's age.",25 years,26 years,27 years,28 years,B,"Sum of students ages = 10×15 = 150, Total sum including teacher = 11×16 = 176, Teachers age = 176-150 = 26",Medium
Quantitative Aptitude,Number System,"Find the unit digit of 7^100.",1,3,7,9,A,"Units digits of powers of 7: 7¹=7, 7²=9, 7³=3, 7⁴=1, pattern repeats every 4. 100÷4=0 remainder, so unit digit is 1",Hard
Logical Reasoning,Blood Relations,"If A+B means A is father of B, A-B means A is mother of B, A×B means A is brother of B, what does P+Q-R mean?",P is grandfather of R,P is father of R,R is grandson of P,Both A and C,D,"P+Q means P is father of Q, Q-R means Q is mother of R, so P is grandfather of R and R is grandson of P",Medium
